;Unnamed: 0;Unnamed: 0.1;Tick;numtick;obname;bestask;bestbid;price;quty;volatility;cum_quty;cum_diff;vola_diff
204;204;204;Tick;205;lvmh;0.017;0.016;0.016;128626;0.02407637803193169;38922305;7.344132215869504;28.918050885750084
205;205;205;Tick;206;lvmh;0.017;0.016;0.016;200;0.024088979007268568;38922505;7.344091707212516;28.802842626117908
206;206;206;Tick;207;lvmh;0.017;0.016;0.016;35396;0.024100759364421416;38957901;7.338396382104392;28.689550332243826
207;207;207;Tick;208;lvmh;0.017;0.016;0.016;100100;0.02411174212002264;39058001;7.31821278059372;28.578126184090575
208;208;208;Tick;209;lvmh;0.017;0.016;0.015;76916;0.024121949556165395;39134917;7.302720301780801;28.468523954475298
209;209;209;Tick;210;lvmh;0.017;0.016;0.016;52500;0.024073987293102173;39187417;7.292223292598936;28.450151778814938
210;210;210;Tick;211;lvmh;0.017;0.016;0.015;189097;0.02408339729072;39376514;7.288477965673966;28.342859622450185
211;211;211;Tick;212;lvmh;0.017;0.016;0.016;9900;0.024035661461487185;39386414;7.286512476182146;28.32520486116164
212;212;212;Tick;213;lvmh;0.016;0.015;0.014;862248;0.02404431212825986;40248662;7.1590053151834825;28.140012874360185
213;213;213;Tick;214;lvmh;0.016;0.015;0.015;112100;0.023991376488347867;40360762;7.217395582429175;28.13951997381589
214;214;214;Tick;215;lvmh;0.016;0.014;0.014;40302;0.0239442993666564;40401064;7.215372708504258;28.195126513170628
215;215;215;Tick;216;lvmh;0.016;0.014;0.014;200000;0.02389212880291448;40601064;7.204460560367322;28.194738511408858
216;216;216;Tick;217;lvmh;0.016;0.014;0.014;300;0.02384029550828768;40601364;7.204403492095168;28.19166103431421
217;217;217;Tick;218;lvmh;0.016;0.014;0.014;38100;0.023788795892937552;40639464;7.231238138179405;28.18861346271191
218;218;218;Tick;219;lvmh;0.016;0.014;0.014;23800;0.023737626419789583;40663264;7.260773665832275;28.185595362789392
219;219;219;Tick;220;lvmh;0.016;0.014;0.014;200;0.0236867836035513;40663464;7.260735361376821;28.18260630908539
220;220;220;Tick;221;lvmh;0.016;0.014;0.014;12800;0.02363626400975269;40676264;7.29180168396075;28.179645884289037
221;221;221;Tick;222;lvmh;0.016;0.014;0.014;194891;0.02358606425380845;40871155;7.268276756406061;28.1767136790447
